run_id,turn_id,question_topic,question_pressure_level,question_evidence_count,answer_word_count,answer_key_facts,selected_question_source,user_question
2026-05-16T22-08-16,38,other,medium,0,54,,custom,"If nobody can confirm it, why should I believe it?"
2026-05-16T22-08-16,39,other,low,0,72,mentions_missing_data | mentions_killing_denial,custom,Did Elena know something that could get you in trouble?
2026-05-16T22-08-16,40,missing_data,medium,1,60,mentions_missing_data,custom,Were you afraid Elena would blame you for the missing trial data?
2026-05-16T22-08-16,41,usb,low,1,57,mentions_usb | mentions_missing_data | mentions_killing_denial,custom,Did you take the USB drive to protect yourself?
2026-05-16T22-08-16,42,usb,medium,2,50,mentions_usb | mentions_missing_data | mentions_killing_denial,custom,Did the USB drive contain missing trial data?
2026-05-16T22-08-16,43,role,low,0,56,mentions_missing_data,custom,Were you involved in sabotaging or changing company data?
2026-05-16T22-08-16,44,accusation,high,0,37,mentions_killing_denial,custom,Did you kill Elena Park?
2026-05-16T22-08-16,45,accusation,high,0,130,mentions_830 | mentions_912 | mentions_947 | mentions_home | mentions_usb | mentions_missing_data,custom,Summarize everything you have admitted so far.
2026-05-16T22-08-16,46,other,low,0,63,mentions_missing_data,custom,Summarize everything you still deny.
2026-05-16T22-08-16,47,timeline,low,0,63,mentions_830 | mentions_912 | mentions_home | mentions_missing_data,custom,What was your original cover story when this interview began?
2026-05-16T22-08-16,48,other,low,0,61,mentions_830 | mentions_usb | mentions_missing_data,custom,What is the truth you were trying to hide?
2026-05-16T22-08-16,49,other,low,0,79,mentions_947,custom,Is there any contradiction in your answers today?
2026-05-16T22-08-16,50,alibi,low,0,145,mentions_830 | mentions_912 | mentions_918 | mentions_947 | mentions_home | mentions_badge | mentions_usb | mentions_missing_data,custom,Give me your final timeline from 8:00 PM to 10:30 PM.
2026-05-16T22-08-16,51,timeline,low,0,46,mentions_918 | mentions_missing_data,custom,One more time: when did you last see Elena alive?
2026-05-16T22-08-16,52,call,medium,1,49,mentions_912 | mentions_missing_data,custom,One more time: what was the 9:12 PM call about?
2026-05-16T22-08-16,53,badge,medium,1,54,mentions_918 | mentions_badge | mentions_usb | mentions_missing_data,custom,One more time: why was your badge used at 9:18 PM?
2026-05-16T22-08-16,54,usb,low,1,66,mentions_918 | mentions_usb | mentions_missing_data,custom,One more time: what happened to the USB drive?
2026-05-16T22-08-16,55,accusation,high,0,22,mentions_killing_denial,custom,One more time: did you kill Elena?
2026-05-16T22-08-16,56,alibi,low,0,33,mentions_830,custom,Earlier you mentioned your alibi witness or lack of one. State that again.
2026-05-16T22-08-16,57,other,low,0,69,mentions_missing_data,custom,Earlier you described Elena's mood. State that again.
2026-05-16T22-08-16,58,missing_data,medium,1,81,mentions_missing_data,custom,Earlier you described the missing data problem. State that again.
2026-05-16T22-08-16,59,other,low,0,53,,custom,Earlier you described your reason for being nervous. State that again.
2026-05-16T22-08-16,60,other,low,0,44,mentions_830 | mentions_missing_data,custom,Final answer: tell me the one thing you most wanted to keep hidden.
2026-05-16T22-08-16,61,call,high,3,68,mentions_usb,suggestion,"The call, badge log, and missing drive all point back to you. What are you leaving out?"
2026-05-16T22-08-16,62,alibi,low,0,28,,suggestion,Where were you between 9:00 PM and 10:30 PM?
2026-05-16T22-08-16,63,motive,medium,1,68,mentions_missing_data,suggestion,Were you and Elena arguing about the audit or missing records?
2026-05-16T22-08-16,64,timeline,low,0,45,mentions_918 | mentions_missing_data,suggestion,When did you last see Elena Park alive?
2026-05-16T22-08-16,65,timeline,low,0,49,mentions_918 | mentions_missing_data,suggestion,When did you last see Elena Park alive?
2026-05-16T22-08-16,66,motive,medium,1,42,mentions_missing_data,suggestion,Were you and Elena arguing about the audit or missing records?
2026-05-16T22-08-16,67,badge,medium,1,62,mentions_918 | mentions_badge | mentions_usb | mentions_missing_data,suggestion,How do you explain your badge being used at 9:18 PM?
2026-05-16T22-08-16,68,motive,medium,1,118,mentions_missing_data,suggestion,Were you and Elena arguing about the audit or missing records?
2026-05-16T22-08-16,69,usb,medium,1,58,mentions_918 | mentions_usb | mentions_missing_data,suggestion,What do you know about the missing USB drive?
2026-05-16T22-08-16,70,call,high,3,150,mentions_usb | mentions_missing_data,suggestion,"The call, badge log, and missing drive all point back to you. What are you leaving out?"
